,Sr. No.,SB NO.,S/B Date,LEO Date,CUSTOMER NAME,FINAL INVOICE NO,SB. SOLAR / OTHER GOODS,PORT CODE,INCOTERMS,COUNTRY,H.S. Itch code,PRODUCT GROUP,Qty,Unit,FOB Value declared by us (S/B)in FC,Currency of export,Custom Exchange Rate in FC,LEO Date Exchange Rate in in FC,FOB Value as per SB in INR,FOB Value as per LEO ex rate in INR,ACTUAL FRT + INSURANC  IN FC,Total Invoice Value in FC as per SB,PAYMENT RECEIPT,PAYMENT OUTSTANDING,Total Invoice Value in INR as per SB,SCHEME (ADV/DFIA/DRAWBACK),EPCG LICECE,Drawback cap per unit in Rs. (₹),DBK %,DRAWBACK Receivable on fob,DRAWBCK Scrol NO,Scroll Date,DBK Realized BEFORE 31.03.2026,SHORT REALIZATION,BAL DBK,REASONS OF BAL DBK,REMARKS FOR ACTION TAKEN FOR RECOVERY AS ON DTD. XX.XX.2020,RoDTEP%,RoDTEP RECEIVABLE,RoDTEP Y/N,Transmitted Y/N,RoDTEP REALIZE BEFORE 31.03.2026,SCRIP NUMBER,SCRIP ISSUE DATE,SORT REALIZAION,BAL RoDTEP,REASONS OF BAL RoDTEP,DBK Not Realized BUT PAYMENT OUTSTANDING > 9 MONTH,Reason for BAL/SHORTFALL,REMARKS FOR ACTION TAKEN FOR RECOVERY AS ON DTD.,BOOKING IN SAP
0,1,2086224,23-MAY-25,24-MAY-25,SOLAR EXPLOCHEM ZAMBIA LTD,16886076,,INKPK6,CIF,TANZANIA,39235010,DF CONNECTOR -YELLOW (250 MS),282000,NOS,2526,USD,84.7,84.7,213952.2,213952.2,,2679,,,226965.3,"DRAWBACK, RoDTEP",,,1.2,2567.43,,,,,,,,,1926,Y,,,,,,,,,,,
1,2,2086224,23-MAY-25,24-MAY-25,SOLAR EXPLOCHEM ZAMBIA LTD,16886108,,INKPK6,CIF,TANZANIA,39269029,PLASTIC SLEEVES (BLACK ) 3.1 MM,510000,NOS,3468,USD,84.7,84.7,293739.6,293739.6,,3672,,,310946.4,"DRAWBACK, RoDTEP",,,1.2,3524.88,,,,,,,,,2644,Y,,,,,,,,,,,
2,3,2086224,23-MAY-25,24-MAY-25,SOLAR EXPLOCHEM ZAMBIA LTD,16886165,,INKPK6,CIF,TANZANIA,39239090,STRAPPING ROLLS 12 MM,100,NOS,1708,USD,84.7,84.7,144667.6,144667.6,,1810,,,153367,"DRAWBACK, RoDTEP",,,1.2,1736.01,,,,,,,,,1302,Y,,,,,,,,,,,
3,4,2086224,23-MAY-25,24-MAY-25,SOLAR EXPLOCHEM ZAMBIA LTD,16886235,,INKPK6,CIF,TANZANIA,39269029,PLASTIC SLEEVES (BLACK ) 3.1 MM,510000,NOS,3518,USD,84.7,84.7,297974.6,297974.6,,3672,,,310946.4,"DRAWBACK, RoDTEP",,,1.2,3575.7,,,,,,,,,2682,Y,,,,,,,,,,,
4,5,2086224,23-MAY-25,24-MAY-25,SOLAR EXPLOCHEM ZAMBIA LTD,16886249,,INKPK6,CIF,TANZANIA,28342990,ZINC NITRATE,5000,KGS,9990,USD,84.7,84.7,846153,846153,,10500,,,889350,"DRAWBACK, RoDTEP",,,1,8461.53,,,,,,,,,5923,Y,,,,,,,,,,,
5,6,1574602,06-MAY-25,10-MAY-25,SOLAR NITRO GHANA LIMITED,15128476,SOLAR GOODS,INNSA1,CIF,GHANA,38112100,SOLAR EMULSIFIER BLEND - LIQUID (CONTAINING OILS OBTAINED FROM BITUMINOUS MINERALS),8000,KGS,26200,USD,83.85,,2196870,,,28000,,,2347800,"Drawback, RoDTEP",,3.295305,1.2,26362.44,,,,,,,,,15378,Y,,,,,,,,,,,
6,7,1574602,06-MAY-25,10-MAY-25,SOLAR NITRO GHANA LIMITED,15128487,SOLAR GOODS,INNSA1,CIF,GHANA,38112100,SOLAR EMULSIFIER BLEND - LIQUID (CONTAINING OILS OBTAINED FROM BITUMINOUS MINERALS),6000,KGS,19800,USD,83.85,,1660230,,,21000,,,1760850,"Drawback, RoDTEP",,3.32046,1.2,19922.76,,,,,,,,,11622,Y,,,,,,,,,,,
7,8,1575301,06-MAY-25,10-MAY-25,"SOLAR NITRO GHANA LIMITED WORKSPACE OFFICE ASSOCIATION LOOP, AIRPORT RESIDENTIAL AREA,ACCRA,GHAN A",15128492,,INNSA1,CIF,GHANA,84021990,2 TON STEAM BOILER (SHELLMAX BOILER) WIT H ACCESSORIES.,1,SET,46500,USD,83.85,83.85,3594473.25,3898025,,51210,,,4293058.5,Drawback,,,1.5,53917.1,,,,,,,,,32350,Y,,,,,,,,,,,
8,9,1575301,06-MAY-25,10-MAY-25,"SOLAR NITRO GHANA LIMITED WORKSPACE OFFICE ASSOCIATION LOOP, AIRPORT RESIDENTIAL AREA,ACCRA,GHAN A",15128492,,INNSA1,CIF,GHANA,84798200,MOBILE MIXING UNIT (MMU) PARTS,1,SET,4304,USD,83.85,83.85,332701.4,360896.4,,51210,,,4293058.5,Free SB Involving Remittance O,,,,,,,,,,,,,2994,Y,,,,,,,,,,,
9,10,1575301,06-MAY-25,10-MAY-25,"SOLAR NITRO GHANA LIMITED WORKSPACE OFFICE ASSOCIATION LOOP, AIRPORT RESIDENTIAL AREA,ACCRA,GHAN A",15128492,,INNSA1,CIF,GHANA,84812000,PNEUMATIC VALVES & CONNECTORS,1,SET,406,USD,83.85,83.85,31383.85,34039.1,,51210,,,4293058.5,Free SB Involving Remittance O,,,,,,,,,,,,,282,Y,,,,,,,,,,,
10,11,1575301,06-MAY-25,10-MAY-25,"SOLAR NITRO GHANA LIMITED WORKSPACE OFFICE ASSOCIATION LOOP, AIRPORT RESIDENTIAL AREA,ACCRA,GHAN A",15128492,,INNSA1,CIF,GHANA,84021990,THERMAX LIMITED TAX INVOICE NO:270100019 845 DT:21-12-2024 GST NO:27AAACT3910D1ZS,1,NOS,0,USD,83.85,83.85,0,0,,51210,,,4293058.5,Free SB Involving Remittance O,,,,,,,,,,,,,,N,,,,,,,,,,,
11,12,1948622,19-MAY-25,19-MAY-25,M/S. SOLAR EXPLOCHEM ZAMBIA LIMITED,16886234,SOLAR GOODS,INKPK6,CIF,ZAMBIA,38112100,SOLAR EMULSIFIER BLEND -CS,20000,KGS,66003,USD,84.7,84.7,5590454.1,5590454.1,,67000,,,5674900,Drawback,,,,67085.45,,,,,,,,,39133,Y,,,,,,,,,,,
12,13,1948622,19-MAY-25,19-MAY-25,M/S. SOLAR EXPLOCHEM ZAMBIA LIMITED,16886233,SOLAR GOODS,INKPK6,CIF,ZAMBIA,38112100,SOLAR EMULSIFIER BLEND -CS,20000,KGS,66003,USD,84.7,84.7,5590454.1,5590454.1,,67000,,,5674900,Drawback,,,,67085.45,,,,,,,,,39133,Y,,,,,,,,,,,
13,14,1985551,20-MAY-25,20-MAY-25,SOLAR NIGACHEM LIMITED FORMERLY KNOW AS NIGACHEM NIGERIA LTD.,16886184,OTHER GOODS,INKPK6,CIF,NIGERIA,39235010,PVC PLUG,810,KGS,2794.5,USD,84.7,84.7,217164.36,236791.15,,3025.07,,,256229.89,Drawback,,,,2605.97,,,,,,,,,1954,Y,Y,,,,,,,,,,
